,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Mohamed Salah,32,10,24.4,9.1
Roberto Firmino,15,7,12.2,5.3
Sadio Mané,10,7,10.3,4.9
Georginio Wijnaldum,1,2,2.5,1.5
Jordan Henderson,1,1,1,1.8
Dejan Lovren,2,1,1.5,0.3
Emre Can,3,4,1.6,2.9
Joël Matip,1,0,1.7,0.5
Andrew Robertson,1,5,0.6,3.3
Joe Gomez,0,2,0.3,1
Loris Karius,0,0,0,0
Simon Mignolet,0,0,0,0
Trent Alexander-Arnold,1,1,1.2,2.2
James Milner,0,3,1.1,3.5
Ragnar Klavan,1,0,0.7,0.1
Alex Oxlade-Chamberlain,3,7,2.4,4.1
Alberto Moreno,0,0,0.5,0.8
Virgil van Dijk,0,0,1.1,0.8
Philippe Coutinho,7,6,2.6,4.2
Dominic Solanke,1,1,2.9,2.1
Daniel Sturridge,2,1,2.6,0.9
Danny Ings,1,0,1.5,0.2
Nathaniel Clyne,0,0,0.1,0.1
Adam Lallana,0,0,1.4,0.4
Marko Grujić,0,0,0,0
Divock Origi,0,0,0,0
Ben Woodburn,0,0,0,0
